Input #1,Input #2,Output #1,Output #2,Output #3
5x Mochibear (U31),5x Quartzfang (R33),1x Kada Knight (R36),2x Pandarai (E4),2x Bambloom (R4)
5x Mochibear (U31),5x Hideonring (R34),1x Dreadwing (R49),2x Pandarai (E4),2x Bambloom (R4)
5x Mochibear (U31),5x Snowfin (R35),1x Carrot King (R38),2x Pandarai (E4),2x Bambloom (R4)
5x Mochibear (U31),5x Kada Knight (R36),1x Wither Specter (R39),2x Pandarai (E4),2x Bambloom (R4)
5x Mochibear (U31),5x Carrot King (R38),1x Lumisquid (R44),2x Pandarai (E4),2x Bambloom (R4)
5x Mochibear (U31),5x Wither Specter (R39),1x Matcho (R42),2x Pandarai (E4),2x Bambloom (R4)
5x Mochibear (U31),5x Matcho (R42),1x Crocodile (R45),2x Pandarai (E4),2x Bambloom (R4)
5x Mochibear (U31),5x Ladybug (R43),1x Dreadwing (R49),2x Pandarai (E4),2x Bambloom (R4)
5x Mochibear (U31),5x Lumisquid (R44),1x Joydive (R50),2x Pandarai (E4),2x Bambloom (R4)
5x Mochibear (U31),2x Crocodile (R45),1x Draconic (R57),2x Pandarai (E4),2x Bambloom (R4)
5x Mochibear (U31),2x Bullfrog (R46),1x Joydive (R50),2x Pandarai (E4),2x Bambloom (R4)
5x Mochibear (U31),5x Dreadwing (R49),1x Fungloom (R52),2x Pandarai (E4),2x Bambloom (R4)
5x Mochibear (U31),5x Joydive (R50),1x Eel (R53),2x Pandarai (E4),2x Bambloom (R4)
5x Mochibear (U31),5x Stalagmight (R51),1x Draconic (R57),2x Pandarai (E4),2x Bambloom (R4)
5x Mochibear (U31),5x Fungloom (R52),2x Pandarai (E4),2x Bambloom (R4),2x Bramble (U1)
5x Mochibear (U31),2x Eel (R53),1x Lava Flame (R56),2x Pandarai (E4),2x Bambloom (R4)
5x Mochibear (U31),2x King Cobra (R54),1x Draconic (R57),2x Pandarai (E4),2x Bambloom (R4)
5x Mochibear (U31),5x Lava Flame (R56),1x Inferno Koi (R59),2x Pandarai (E4),2x Bambloom (R4)
5x Mochibear (U31),5x Draconic (R57),1x Wither (R60),2x Pandarai (E4),2x Bambloom (R4)
5x Mochibear (U31),5x Falcon (R58),2x Pandarai (E4),2x Bambloom (R4),2x Bramble (U1)
5x Mochibear (U31),5x Inferno Koi (R59),2x Pandarai (E4),2x Bambloom (R4),2x Bramble (U1)
5x Mochibear (U31),5x Wither (R60),2x Pandarai (E4),2x Bambloom (R4),2x Bramble (U1)
5x Mochibear (U31),2x Gecko (R61),2x Pandarai (E4),2x Bambloom (R4),2x Bramble (U1)
5x Mochibear (U31),2x Terra (E1),1x XYZ (E34),2x Pandarai (E4),2x Bambloom (R4)
5x Mochibear (U31),2x Cryo (E2),1x Water Hydra (E17),2x Pandarai (E4),2x Bambloom (R4)
5x Mochibear (U31),2x Aero (E3),1x Thorn (E12),2x Pandarai (E4),2x Bambloom (R4)
5x Mochibear (U31),5x Pandarai (E4),1x XYZ (E34),2x Bambloom (R4),2x Bramble (U1)
5x Mochibear (U31),2x Leviathan (E5),1x Water Hydra (E17),2x Pandarai (E4),2x Bambloom (R4)
5x Mochibear (U31),2x Alligator (E6),1x Thorn (E12),2x Pandarai (E4),2x Bambloom (R4)
5x Mochibear (U31),2x Fenlord (E7),1x Water Hydra (E17),2x Pandarai (E4),2x Bambloom (R4)
5x Mochibear (U31),2x Basilisk (E9),1x Thorn (E12),2x Pandarai (E4),2x Bambloom (R4)
5x Mochibear (U31),2x Iguana (E10),1x XYZ (E34),2x Pandarai (E4),2x Bambloom (R4)
5x Mochibear (U31),2x Moray Eel (E11),1x Water Hydra (E17),2x Pandarai (E4),2x Bambloom (R4)
5x Mochibear (U31),5x Thorn (E12),1x Bal (E15),2x Pandarai (E4),2x Bambloom (R4)
5x Mochibear (U31),5x Lunar Moth (E13),1x XYZ (E34),2x Pandarai (E4),2x Bambloom (R4)
5x Mochibear (U31),2x Fire Eel (E14),1x Water Hydra (E17),2x Pandarai (E4),2x Bambloom (R4)
5x Mochibear (U31),5x Bal (E15),1x Flare (E18),2x Pandarai (E4),2x Bambloom (R4)
5x Mochibear (U31),5x Hideonsack (E16),1x XYZ (E34),2x Pandarai (E4),2x Bambloom (R4)
5x Mochibear (U31),5x Water Hydra (E17),1x Sea Emperor (E20),2x Pandarai (E4),2x Bambloom (R4)
5x Mochibear (U31),5x Flare (E18),1x Prince (E21),2x Pandarai (E4),2x Bambloom (R4)
5x Mochibear (U31),5x Sea Emperor (E20),1x Shellwise (E26),2x Pandarai (E4),2x Bambloom (R4)
5x Mochibear (U31),5x Prince (E21),1x Mimic (E24),2x Pandarai (E4),2x Bambloom (R4)
5x Mochibear (U31),2x Komodo Dragon (E22),1x XYZ (E34),2x Pandarai (E4),2x Bambloom (R4)
5x Mochibear (U31),5x Mimic (E24),1x Barbarian Duke X (E27),2x Pandarai (E4),2x Bambloom (R4)
5x Mochibear (U31),2x Shellwise (E26),2x Pandarai (E4),2x Bambloom (R4),2x Bramble (U1)
5x Mochibear (U31),5x Barbarian Duke X (E27),1x Hellwisp (E29),2x Pandarai (E4),2x Bambloom (R4)
5x Mochibear (U31),5x Toucan (E28),1x XYZ (E34),2x Pandarai (E4),2x Bambloom (R4)
5x Mochibear (U31),5x Hellwisp (E29),1x Ghost (E33),2x Pandarai (E4),2x Bambloom (R4)
5x Mochibear (U31),2x Caiman (E30),1x Ghost (E33),2x Pandarai (E4),2x Bambloom (R4)
5x Mochibear (U31),5x Firefly (E31),1x XYZ (E34),2x Pandarai (E4),2x Bambloom (R4)
5x Mochibear (U31),2x Sea Serpent (E32),2x Pandarai (E4),2x Bambloom (R4),2x Bramble (U1)
5x Mochibear (U31),5x Ghost (E33),2x Pandarai (E4),2x Bambloom (R4),2x Bramble (U1)
5x Mochibear (U31),5x XYZ (E34),2x Pandarai (E4),2x Bambloom (R4),2x Bramble (U1)
5x Mochibear (U31),2x Leatherback (E35),2x Pandarai (E4),2x Bambloom (R4),2x Bramble (U1)
5x Mochibear (U31),5x Cavernshade (E36),2x Pandarai (E4),2x Bambloom (R4),2x Bramble (U1)
5x Mochibear (U31),5x Dragonfly (E37),2x Pandarai (E4),2x Bambloom (R4),2x Bramble (U1)
5x Mochibear (U31),2x Tenebris (L1),1x Cinderbat (L28),2x Pandarai (E4),2x Bambloom (R4)
5x Mochibear (U31),2x Blizzard (L2),1x Spike (L14),2x Pandarai (E4),2x Bambloom (R4)
5x Mochibear (U31),2x Tempest (L3),1x Endstone Protector (L9),2x Pandarai (E4),2x Bambloom (R4)
5x Mochibear (U31),2x Chameleon (L4),1x Magma Slug (U32),1x Flaming Spider (U33),1x Kiwi (U34)
5x Mochibear (U31),2x Tiamat (L6),1x Endstone Protector (L9),2x Pandarai (E4),2x Bambloom (R4)
5x Mochibear (U31),2x Wyvern (L7),1x Cinderbat (L28),2x Pandarai (E4),2x Bambloom (R4)
5x Mochibear (U31),2x Tortoise (L8),1x Spike (L14),2x Pandarai (E4),2x Bambloom (R4)
5x Mochibear (U31),5x Endstone Protector (L9),1x Kraken (L15),2x Pandarai (E4),2x Bambloom (R4)
5x Mochibear (U31),2x Naga (L11),1x Spike (L14),2x Pandarai (E4),2x Bambloom (R4)
5x Mochibear (U31),5x Lapis Creeper (L12),1x Kraken (L15),2x Pandarai (E4),2x Bambloom (R4)
5x Mochibear (U31),5x Wartybug (L13),1x Cinderbat (L28),2x Pandarai (E4),2x Bambloom (R4)
5x Mochibear (U31),5x Spike (L14),1x Taurus (L17),2x Pandarai (E4),2x Bambloom (R4)
5x Mochibear (U31),5x Kraken (L15),1x Burningsoul (L27),2x Pandarai (E4),2x Bambloom (R4)
5x Mochibear (U31),5x Taurus (L17),1x Shinyfish (L23),2x Pandarai (E4),2x Bambloom (R4)
5x Mochibear (U31),5x Daemon (L18),1x Burningsoul (L27),2x Pandarai (E4),2x Bambloom (R4)
5x Mochibear (U31),5x Moltenfish (L20),1x Shinyfish (L23),2x Pandarai (E4),2x Bambloom (R4)
5x Mochibear (U31),5x Shinyfish (L23),1x Lord Jawbus (L26),2x Pandarai (E4),2x Bambloom (R4)
5x Mochibear (U31),5x Ananke (L24),1x Burningsoul (L27),2x Pandarai (E4),2x Bambloom (R4)
5x Mochibear (U31),5x Hideonbox (L25),1x Cinderbat (L28),2x Pandarai (E4),2x Bambloom (R4)
5x Mochibear (U31),5x Lord Jawbus (L26),2x Pandarai (E4),2x Bambloom (R4),2x Bramble (U1)
5x Mochibear (U31),5x Burningsoul (L27),1x Power Dragon (L30),2x Pandarai (E4),2x Bambloom (R4)
5x Mochibear (U31),5x Cinderbat (L28),2x Pandarai (E4),2x Bambloom (R4),2x Bramble (U1)
5x Mochibear (U31),2x Megalith (L29),2x Pandarai (E4),2x Bambloom (R4),2x Bramble (U1)
5x Mochibear (U31),5x Power Dragon (L30),1x Apex Dragon (L33),2x Pandarai (E4),2x Bambloom (R4)
5x Mochibear (U31),5x Condor (L31),2x Pandarai (E4),2x Bambloom (R4),2x Bramble (U1)
5x Mochibear (U31),5x Sun Fish (L32),2x Pandarai (E4),2x Bambloom (R4),2x Bramble (U1)
5x Mochibear (U31),5x Apex Dragon (L33),2x Pandarai (E4),2x Bambloom (R4),2x Bramble (U1)
5x Mochibear (U31),5x Dodo (L34),2x Pandarai (E4),2x Bambloom (R4),2x Bramble (U1)
5x Mochibear (U31),5x Jormung (L36),2x Pandarai (E4),2x Bambloom (R4),2x Bramble (U1)
5x Mochibear (U31),5x Etherdrake (L39),2x Pandarai (E4),2x Bambloom (R4),2x Bramble (U1)
5x Mochibear (U31),5x Galaxy Fish (L41),2x Pandarai (E4),2x Bambloom (R4),2x Bramble (U1)
5x Mochibear (U31),5x Molthorn (L42),2x Pandarai (E4),2x Bambloom (R4),2x Bramble (U1)
5x Mochibear (U31),2x Starborn (L44),2x Pandarai (E4),2x Bambloom (R4),2x Bramble (U1)
5x Magma Slug (U32),2x Grove (C1),1x Stridersurfer (U38),1x Phanpyre (C4),
5x Magma Slug (U32),2x Mist (C2),1x Stridersurfer (U38),,
5x Magma Slug (U32),2x Flash (C3),1x Stridersurfer (U38),1x Lapis Zombie (C9),
5x Magma Slug (U32),5x Phanpyre (C4),1x Stridersurfer (U38),1x Phanflare (C7),2x Grove (C1)
5x Magma Slug (U32),5x Cod (C5),1x Stridersurfer (U38),2x Mist (C2),
5x Magma Slug (U32),5x Phanflare (C7),1x Stridersurfer (U38),1x Hideonleaf (C10),2x Grove (C1)
5x Magma Slug (U32),5x Night Squid (C8),1x Stridersurfer (U38),2x Mist (C2),
5x Magma Slug (U32),5x Lapis Zombie (C9),1x Stridersurfer (U38),1x Chill (C12),2x Flash (C3)
5x Magma Slug (U32),5x Hideonleaf (C10),1x Stridersurfer (U38),1x Mudworm (C25),2x Grove (C1)
5x Magma Slug (U32),5x Verdant (C11),1x Stridersurfer (U38),2x Mist (C2),
5x Magma Slug (U32),5x Chill (C12),1x Stridersurfer (U38),1x Voracious Spider (C15),2x Flash (C3)
5x Magma Slug (U32),5x Sea Archer (C14),1x Stridersurfer (U38),2x Mist (C2),
5x Magma Slug (U32),5x Voracious Spider (C15),1x Stridersurfer (U38),1x Tank Zombie (C18),2x Flash (C3)
5x Magma Slug (U32),5x Hideongift (C16),1x Stridersurfer (U38),1x Mudworm (C25),2x Grove (C1)
5x Magma Slug (U32),5x Birries (C17),1x Stridersurfer (U38),2x Mist (C2),
5x Magma Slug (U32),5x Tank Zombie (C18),1x Stridersurfer (U38),1x Zealot (C21),2x Flash (C3)
5x Magma Slug (U32),5x Crow (C19),1x Stridersurfer (U38),1x Mudworm (C25),2x Kiwi (U34)
5x Magma Slug (U32),2x Tadgang (C20),1x Stridersurfer (U38),2x Mist (C2),
5x Magma Slug (U32),5x Zealot (C21),1x Stridersurfer (U38),1x Golden Ghoul (C27),2x Flash (C3)
5x Magma Slug (U32),5x Coralot (C23),1x Stridersurfer (U38),2x Mist (C2),2x Newt (C35)
5x Magma Slug (U32),5x Harpy (C24),1x Stridersurfer (U38),1x Golden Ghoul (C27),2x Kiwi (U34)
5x Magma Slug (U32),5x Mudworm (C25),1x Stridersurfer (U38),2x Grove (C1),
5x Magma Slug (U32),5x Golden Ghoul (C27),1x Stridersurfer (U38),1x Azure (C29),1x Goldfin (U5)
5x Magma Slug (U32),5x Azure (C29),1x Stridersurfer (U38),1x Bezal (C30),2x Flash (C3)
5x Magma Slug (U32),5x Bezal (C30),1x Stridersurfer (U38),1x Yog (C33),2x Flash (C3)
5x Magma Slug (U32),5x Yog (C33),1x Stridersurfer (U38),1x Miner Zombie (C36),2x Flash (C3)
5x Magma Slug (U32),5x Boreal Owl (C34),1x Stridersurfer (U38),2x Kiwi (U34),2x Grove (C1)
5x Magma Slug (U32),2x Newt (C35),1x Stridersurfer (U38),2x Lizard King (R8),2x Salamander (U8)
5x Magma Slug (U32),5x Miner Zombie (C36),1x Stridersurfer (U38),2x Flash (C3),
5x Magma Slug (U32),2x Bramble (U1),1x Stridersurfer (U38),1x Pest (U10),
5x Magma Slug (U32),2x Tide (U2),1x Mossybit (U11),,
5x Magma Slug (U32),2x Quake (U3),1x Stridersurfer (U38),1x Rain Slime (U12),
5x Magma Slug (U32),5x Sparrow (U4),1x Stridersurfer (U38),1x Pest (U10),2x Kiwi (U34)
5x Magma Slug (U32),5x Goldfin (U5),1x Mossybit (U11),,
5x Magma Slug (U32),5x Troglobyte (U6),1x Stridersurfer (U38),1x Rain Slime (U12),2x Quartzfang (R33)
5x Magma Slug (U32),5x Hideoncave (U7),1x Stridersurfer (U38),1x Pest (U10),2x Hideongift (C16)
5x Magma Slug (U32),2x Salamander (U8),1x Mossybit (U11),2x Lizard King (R8),
5x Magma Slug (U32),2x Cuboa (U9),1x Stridersurfer (U38),1x Rain Slime (U12),
5x Magma Slug (U32),5x Pest (U10),1x Stridersurfer (U38),1x Bambuleaf (U25),
5x Magma Slug (U32),2x Mossybit (U11),1x Salmon (U20),,
5x Magma Slug (U32),5x Rain Slime (U12),1x Stridersurfer (U38),1x Seer (U15),
5x Magma Slug (U32),5x Seer (U15),1x Stridersurfer (U38),1x Obsidian Defender (U18),
5x Magma Slug (U32),5x Heron (U16),1x Stridersurfer (U38),1x Bambuleaf (U25),2x Kiwi (U34)
5x Magma Slug (U32),5x Obsidian Defender (U18),1x Stridersurfer (U38),1x Zombie Soldier (U24),
5x Magma Slug (U32),5x Salmon (U20),1x Ent (U29),,
5x Magma Slug (U32),2x Viper (U21),1x Stridersurfer (U38),1x Zombie Soldier (U24),
5x Magma Slug (U32),5x Praying Mantis (U22),1x Stridersurfer (U38),1x Bambuleaf (U25),
5x Magma Slug (U32),5x Zombie Soldier (U24),1x Stridersurfer (U38),1x Sycophant (U27),
5x Magma Slug (U32),5x Bambuleaf (U25),1x Stridersurfer (U38),1x Mochibear (U31),2x Bambloom (R4)
5x Magma Slug (U32),5x Sycophant (U27),1x Stridersurfer (U38),1x Soul of the Alpha (U30),
5x Magma Slug (U32),5x Seagull (U28),1x Stridersurfer (U38),1x Mochibear (U31),2x Kiwi (U34)
5x Magma Slug (U32),5x Ent (U29),1x Stridersurfer (U38),,
5x Magma Slug (U32),5x Soul of the Alpha (U30),1x Stridersurfer (U38),1x Flaming Spider (U33),
5x Magma Slug (U32),5x Mochibear (U31),1x Stridersurfer (U38),2x Bambloom (R4),
5x Magma Slug (U32),5x Magma Slug (U32),1x Stridersurfer (U38),,
5x Magma Slug (U32),5x Flaming Spider (U33),1x Stridersurfer (U38),1x Bruiser (U36),
5x Magma Slug (U32),5x Kiwi (U34),1x Stridersurfer (U38),2x Boreal Owl (C34),
5x Magma Slug (U32),5x Bruiser (U36),1x Stridersurfer (U38),,
5x Magma Slug (U32),2x Rana (U39),1x Stridersurfer (U38),,
5x Magma Slug (U32),5x Termite (U40),1x Stridersurfer (U38),,
5x Magma Slug (U32),2x Sylvan (R1),1x Stridersurfer (U38),1x Beaconmite (R7),2x Tide (U2)
5x Magma Slug (U32),2x Cascade (R2),1x Piranha (R11),2x Tide (U2),
5x Magma Slug (U32),2x Bolt (R3),1x Stridersurfer (U38),1x Glacite Walker (R6),2x Tide (U2)
5x Magma Slug (U32),5x Bambloom (R4),1x Stridersurfer (U38),1x Beaconmite (R7),2x Tide (U2)
5x Magma Slug (U32),2x Toad (R5),1x Piranha (R11),2x Tide (U2),
5x Magma Slug (U32),5x Glacite Walker (R6),1x Stridersurfer (U38),1x Drowned (R18),2x Tide (U2)
5x Magma Slug (U32),5x Beaconmite (R7),1x Stridersurfer (U38),1x Invisibug (R10),2x Tide (U2)
5x Magma Slug (U32),2x Lizard King (R8),1x Piranha (R11),2x Tide (U2),2x Salamander (U8)
5x Magma Slug (U32),2x Python (R9),1x Stridersurfer (U38),1x Drowned (R18),2x Tide (U2)
5x Magma Slug (U32),5x Invisibug (R10),1x Stridersurfer (U38),1x Dreadwing (R49),2x Tide (U2)
5x Magma Slug (U32),5x Piranha (R11),1x Abyssal Lanternfish (R23),2x Tide (U2),
5x Magma Slug (U32),5x Hideongeon (R13),1x Stridersurfer (U38),1x Dreadwing (R49),2x Tide (U2)
5x Magma Slug (U32),5x Lapis Skeleton (R15),1x Stridersurfer (U38),1x Drowned (R18),2x Lapis Creeper (L12)
5x Magma Slug (U32),5x Cropeetle (R16),1x Stridersurfer (U38),1x Dreadwing (R49),2x Tide (U2)
5x Magma Slug (U32),5x Drowned (R18),1x Stridersurfer (U38),1x Star Sentry (R21),2x Tide (U2)
5x Magma Slug (U32),5x Star Sentry (R21),1x Stridersurfer (U38),1x Arachne (R24),2x Tide (U2)
5x Magma Slug (U32),5x Hideondra (R22),1x Stridersurfer (U38),1x Dreadwing (R49),2x Tide (U2)
5x Magma Slug (U32),5x Abyssal Lanternfish (R23),1x Silentdepth (R29),2x Tide (U2),
5x Magma Slug (U32),5x Arachne (R24),1x Stridersurfer (U38),1x Revenant (R27),2x Tide (U2)
5x Magma Slug (U32),5x Bitbug (R25),1x Stridersurfer (U38),1x Dreadwing (R49),2x Tide (U2)
5x Magma Slug (U32),5x Revenant (R27),1x Stridersurfer (U38),1x Skeletor (R30),2x Tide (U2)
5x Magma Slug (U32),5x Silentdepth (R29),1x Snowfin (R35),2x Tide (U2),
5x Magma Slug (U32),5x Skeletor (R30),1x Stridersurfer (U38),1x Thyst (R31),2x Tide (U2)
5x Magma Slug (U32),5x Thyst (R31),1x Stridersurfer (U38),1x Kada Knight (R36),2x Tide (U2)
5x Magma Slug (U32),5x Quartzfang (R33),1x Stridersurfer (U38),1x Kada Knight (R36),2x Stalagmight (R51)
5x Magma Slug (U32),5x Hideonring (R34),1x Stridersurfer (U38),1x Dreadwing (R49),2x Tide (U2)
5x Magma Slug (U32),5x Snowfin (R35),1x Carrot King (R38),2x Tide (U2),
5x Magma Slug (U32),5x Kada Knight (R36),1x Stridersurfer (U38),1x Wither Specter (R39),2x Tide (U2)
5x Magma Slug (U32),5x Carrot King (R38),1x Lumisquid (R44),2x Tide (U2),
5x Magma Slug (U32),5x Wither Specter (R39),1x Stridersurfer (U38),1x Matcho (R42),2x Tide (U2)
5x Magma Slug (U32),5x Matcho (R42),1x Stridersurfer (U38),1x Crocodile (R45),2x Tide (U2)
5x Magma Slug (U32),5x Ladybug (R43),1x Stridersurfer (U38),1x Dreadwing (R49),2x Tide (U2)
5x Magma Slug (U32),5x Lumisquid (R44),1x Joydive (R50),2x Tide (U2),
5x Magma Slug (U32),2x Crocodile (R45),1x Stridersurfer (U38),1x Draconic (R57),2x Tide (U2)
5x Magma Slug (U32),2x Bullfrog (R46),1x Joydive (R50),2x Tide (U2),
5x Magma Slug (U32),5x Dreadwing (R49),1x Stridersurfer (U38),1x Fungloom (R52),2x Tide (U2)
5x Magma Slug (U32),5x Joydive (R50),1x Eel (R53),2x Tide (U2),
5x Magma Slug (U32),5x Stalagmight (R51),1x Stridersurfer (U38),1x Draconic (R57),2x Tide (U2)
5x Magma Slug (U32),5x Fungloom (R52),1x Stridersurfer (U38),2x Tide (U2),
5x Magma Slug (U32),2x Eel (R53),1x Lava Flame (R56),2x Tide (U2),
5x Magma Slug (U32),2x King Cobra (R54),1x Stridersurfer (U38),1x Draconic (R57),2x Tide (U2)
5x Magma Slug (U32),5x Lava Flame (R56),1x Inferno Koi (R59),2x Tide (U2),
5x Magma Slug (U32),5x Draconic (R57),1x Stridersurfer (U38),1x Wither (R60),2x Tide (U2)
5x Magma Slug (U32),5x Falcon (R58),1x Stridersurfer (U38),2x Tide (U2),2x Kiwi (U34)
5x Magma Slug (U32),5x Inferno Koi (R59),2x Tide (U2),,
5x Magma Slug (U32),5x Wither (R60),1x Stridersurfer (U38),2x Tide (U2),
5x Magma Slug (U32),2x Gecko (R61),1x Stridersurfer (U38),2x Tide (U2),
5x Magma Slug (U32),2x Terra (E1),1x Stridersurfer (U38),1x XYZ (E34),2x Tide (U2)
5x Magma Slug (U32),2x Cryo (E2),1x Water Hydra (E17),2x Tide (U2),
5x Magma Slug (U32),2x Aero (E3),1x Stridersurfer (U38),1x Thorn (E12),2x Tide (U2)
5x Magma Slug (U32),5x Pandarai (E4),1x Stridersurfer (U38),1x XYZ (E34),2x Bambloom (R4)
5x Magma Slug (U32),2x Leviathan (E5),1x Water Hydra (E17),2x Lizard King (R8),2x Tide (U2)
5x Magma Slug (U32),2x Alligator (E6),1x Stridersurfer (U38),1x Thorn (E12),2x Tide (U2)
5x Magma Slug (U32),2x Fenlord (E7),1x Water Hydra (E17),2x Tide (U2),
5x Magma Slug (U32),2x Basilisk (E9),1x Stridersurfer (U38),1x Thorn (E12),2x Tide (U2)
5x Magma Slug (U32),2x Iguana (E10),1x Stridersurfer (U38),1x XYZ (E34),2x Tide (U2)
5x Magma Slug (U32),2x Moray Eel (E11),1x Water Hydra (E17),2x Tide (U2),
5x Magma Slug (U32),5x Thorn (E12),1x Stridersurfer (U38),1x Bal (E15),2x Tide (U2)
5x Magma Slug (U32),5x Lunar Moth (E13),1x Stridersurfer (U38),1x XYZ (E34),2x Tide (U2)
5x Magma Slug (U32),2x Fire Eel (E14),1x Water Hydra (E17),2x Tide (U2),
5x Magma Slug (U32),5x Bal (E15),1x Stridersurfer (U38),1x Flare (E18),2x Tide (U2)
5x Magma Slug (U32),5x Hideonsack (E16),1x Stridersurfer (U38),1x XYZ (E34),2x Tide (U2)
5x Magma Slug (U32),5x Water Hydra (E17),1x Sea Emperor (E20),2x Tide (U2),
5x Magma Slug (U32),5x Flare (E18),1x Stridersurfer (U38),1x Prince (E21),2x Tide (U2)
5x Magma Slug (U32),5x Sea Emperor (E20),1x Shellwise (E26),2x Tide (U2),
5x Magma Slug (U32),5x Prince (E21),1x Stridersurfer (U38),1x Mimic (E24),2x Tide (U2)
5x Magma Slug (U32),2x Komodo Dragon (E22),1x Stridersurfer (U38),1x XYZ (E34),2x Tide (U2)
5x Magma Slug (U32),5x Mimic (E24),1x Stridersurfer (U38),1x Barbarian Duke X (E27),2x Tide (U2)
5x Magma Slug (U32),2x Shellwise (E26),2x Tide (U2),,
5x Magma Slug (U32),5x Barbarian Duke X (E27),1x Stridersurfer (U38),1x Hellwisp (E29),2x Tide (U2)
5x Magma Slug (U32),5x Toucan (E28),1x Stridersurfer (U38),1x XYZ (E34),2x Tide (U2)
5x Magma Slug (U32),5x Hellwisp (E29),1x Stridersurfer (U38),1x Ghost (E33),2x Tide (U2)
5x Magma Slug (U32),2x Caiman (E30),1x Stridersurfer (U38),1x Ghost (E33),2x Tide (U2)
5x Magma Slug (U32),5x Firefly (E31),1x Stridersurfer (U38),1x XYZ (E34),2x Tide (U2)
5x Magma Slug (U32),2x Sea Serpent (E32),2x Tide (U2),,
5x Magma Slug (U32),5x Ghost (E33),1x Stridersurfer (U38),2x Tide (U2),
5x Magma Slug (U32),5x XYZ (E34),1x Stridersurfer (U38),2x Tide (U2),
5x Magma Slug (U32),2x Leatherback (E35),2x Tide (U2),,
5x Magma Slug (U32),5x Cavernshade (E36),1x Stridersurfer (U38),2x Tide (U2),
5x Magma Slug (U32),5x Dragonfly (E37),1x Stridersurfer (U38),2x Tide (U2),
5x Magma Slug (U32),2x Tenebris (L1),1x Stridersurfer (U38),1x Cinderbat (L28),2x Tide (U2)
5x Magma Slug (U32),2x Blizzard (L2),1x Spike (L14),2x Tide (U2),
5x Magma Slug (U32),2x Tempest (L3),1x Stridersurfer (U38),1x Endstone Protector (L9),2x Tide (U2)
5x Magma Slug (U32),2x Chameleon (L4),1x Flaming Spider (U33),1x Kiwi (U34),1x Sylvan (R1)
5x Magma Slug (U32),2x Tiamat (L6),1x Stridersurfer (U38),1x Endstone Protector (L9),2x Tide (U2)
5x Magma Slug (U32),2x Wyvern (L7),1x Stridersurfer (U38),1x Cinderbat (L28),2x Tide (U2)
5x Magma Slug (U32),2x Tortoise (L8),1x Spike (L14),2x Tide (U2),
5x Magma Slug (U32),5x Endstone Protector (L9),1x Stridersurfer (U38),1x Kraken (L15),2x Tide (U2)
5x Magma Slug (U32),2x Naga (L11),1x Spike (L14),2x Tide (U2),
5x Magma Slug (U32),5x Lapis Creeper (L12),1x Stridersurfer (U38),1x Kraken (L15),2x Tide (U2)
5x Magma Slug (U32),5x Wartybug (L13),1x Stridersurfer (U38),1x Cinderbat (L28),2x Tide (U2)
5x Magma Slug (U32),5x Spike (L14),1x Taurus (L17),2x Tide (U2),
5x Magma Slug (U32),5x Kraken (L15),1x Stridersurfer (U38),1x Burningsoul (L27),1x Moltenfish (L20)
5x Magma Slug (U32),5x Taurus (L17),1x Shinyfish (L23),2x Tide (U2),
5x Magma Slug (U32),5x Daemon (L18),1x Stridersurfer (U38),1x Burningsoul (L27),2x Tide (U2)
5x Magma Slug (U32),5x Moltenfish (L20),1x Shinyfish (L23),2x Tide (U2),
5x Magma Slug (U32),5x Shinyfish (L23),1x Lord Jawbus (L26),2x Tide (U2),
5x Magma Slug (U32),5x Ananke (L24),1x Stridersurfer (U38),1x Burningsoul (L27),2x Tide (U2)
5x Magma Slug (U32),5x Hideonbox (L25),1x Stridersurfer (U38),1x Cinderbat (L28),2x Tide (U2)
5x Magma Slug (U32),5x Lord Jawbus (L26),2x Tide (U2),,
5x Magma Slug (U32),5x Burningsoul (L27),1x Stridersurfer (U38),1x Power Dragon (L30),2x Tide (U2)
5x Magma Slug (U32),5x Cinderbat (L28),1x Stridersurfer (U38),2x Tide (U2),
5x Magma Slug (U32),2x Megalith (L29),2x Tide (U2),,
5x Magma Slug (U32),5x Power Dragon (L30),1x Stridersurfer (U38),1x Apex Dragon (L33),2x Tide (U2)
5x Magma Slug (U32),5x Condor (L31),1x Stridersurfer (U38),2x Tide (U2),2x Kiwi (U34)
5x Magma Slug (U32),5x Sun Fish (L32),2x Tide (U2),,
5x Magma Slug (U32),5x Apex Dragon (L33),1x Stridersurfer (U38),2x Tide (U2),
5x Magma Slug (U32),5x Dodo (L34),1x Stridersurfer (U38),2x Tide (U2),2x Kiwi (U34)
5x Magma Slug (U32),5x Jormung (L36),1x Stridersurfer (U38),2x Tide (U2),
5x Magma Slug (U32),5x Etherdrake (L39),1x Stridersurfer (U38),2x Tide (U2),
5x Magma Slug (U32),5x Galaxy Fish (L41),2x Tide (U2),,
5x Magma Slug (U32),5x Molthorn (L42),1x Stridersurfer (U38),2x Tide (U2),
5x Magma Slug (U32),2x Starborn (L44),1x Stridersurfer (U38),2x Tide (U2),
5x Flaming Spider (U33),2x Grove (C1),1x Bruiser (U36),1x Phanpyre (C4),
5x Flaming Spider (U33),2x Mist (C2),1x Bruiser (U36),1x Cod (C5),
5x Flaming Spider (U33),2x Flash (C3),1x Bruiser (U36),,
5x Flaming Spider (U33),5x Phanpyre (C4),1x Bruiser (U36),1x Phanflare (C7),2x Grove (C1)
